ODOMETRY 0.100692392654 0.100072845247 0.000171392857486
SENSOR 1 1.89645381418 0.374031885671
ODOMETRY 0.0993660353102 0.0999680211112 -0.000241341506349
SENSOR 2 3.91387355108 1.39726707495
ODOMETRY 0.1001269468 0.0996775968077 0.00113216234338
SENSOR 5 4.94061207625 -0.301846585866
ODOMETRY 0.101933131097 0.100035451391 0.000237528350557
SENSOR 2 3.52075052213 0.713285994564
ODOMETRY 0.0995249967075 0.0999629034777 -0.000310935478365
SENSOR 1 1.21729853226 -0.710125222556
ODOMETRY 0.000725590203339 0.100099544096 -0.000502192537738
SENSOR 4 5.05490023327 -0.935291362329
ODOMETRY 0.000167814075902 0.100128096098 -0.00101356835322
SENSOR 5 4.09990206205 -1.3003798587
ODOMETRY -0.000325271880878 0.099912066366 4.12721211267e-05
SENSOR 3 4.75671926674 -0.2228184724
